Transform,Detail,Approximate,Metric,Value
1,3,,5,0.82168
1,3,,6,0.0028277
1,3,,7,0.13689
1,3,,8,0.024274
1,4,,1,0.65953
1,4,,2,0.45882
1,4,,3,0.72094
1,4,,4,0.0050053
1,4,,5,0.86345
1,4,,6,0.0025557
1,4,,7,0.6262
1,4,,8,0.024882
1,5,,1,0.38109
1,5,,2,0.61021
1,5,,3,0.1827
1,5,,4,0.0034047
1,5,,5,0.81691
1,5,,6,0.0051246
1,5,,7,0.11808
1,5,,8,0.024826
1,6,,1,0.44073
1,6,,2,0.48791
1,6,,3,0.38853
1,6,,4,0.0040137
1,6,,5,0.8236
1,6,,6,0.0028709
1,6,,7,0.38888
1,6,,8,0.024882
1,7,,1,0.38087
1,7,,2,0.55573
1,7,,3,0.25558
1,7,,4,0.0037002
1,7,,5,0.81717
1,7,,6,0.003259
1,7,,7,0.15285
1,7,,8,0.024798
1,1,,1,0.27864
1,1,,2,0.36746
1,1,,3,0.49582
1,1,,4,0.0047452
1,1,,5,0.81114
1,1,,6,0.0024308
1,1,,7,0.37755
1,1,,8,0.0042531
1,2,,1,0.27301
1,2,,2,0.32202
1,2,,3,0.44679
1,2,,4,0.0043048
1,2,,5,0.81058
1,2,,6,0.0039022
1,2,,7,0.27642
1,2,,8,0.0043644
1,3,,1,0.27937
1,3,,2,0.38471
1,3,,3,0.41008
1,3,,4,0.0037302
1,3,,5,0.81094
1,3,,6,0.0024021
1,3,,7,0.16203
1,3,,8,0.0041427
1,4,,1,0.59994
1,4,,2,0.45968
1,4,,3,0.74025
1,4,,4,0.0054513
1,4,,5,0.86508
1,4,,6,0.0033292
1,4,,7,0.79995
1,4,,8,0.0042569
1,5,,1,0.25134
1,5,,2,0.33114
1,5,,3,0.41517
1,5,,4,0.0038015
1,5,,5,0.8095
1,5,,6,0.0039915
1,5,,7,0.16281
1,5,,8,0.0042508
1,6,,1,0.29112
1,6,,2,0.33294
1,6,,3,0.59477
1,6,,4,0.0045993
1,6,,5,0.81246
1,6,,6,0.0030606
1,6,,7,0.39775
1,6,,8,0.0042542
1,7,,1,0.26355
1,7,,2,0.31724
1,7,,3,0.5642
1,7,,4,0.0042444
1,7,,5,0.81045
1,7,,6,0.0027214
1,7,,7,0.26511
1,7,,8,0.0042545
1,1,,1,0.53852
1,1,,2,0.48509
1,1,,3,0.68915
1,1,,4,0.0059283
1,1,,5,0.83818
1,1,,6,0.0030278
1,1,,7,0.63807
1,1,,8,0.0045388
1,2,,1,0.53288
1,2,,2,0.50223
1,2,,3,0.55634
1,2,,4,0.0056641
1,2,,5,0.83617
1,2,,6,0.0040107
1,2,,7,0.57519
1,2,,8,0.0045937
1,3,,1,0.54334
1,3,,2,0.49278
1,3,,3,0.56619
1,3,,4,0.0056811
1,3,,5,0.83825
1,3,,6,0.0031235
1,3,,7,0.5117
1,3,,8,0.004484
1,4,,1,0.7363
1,4,,2,0.51274
1,4,,3,0.82142
1,4,,4,0.0063999
1,4,,5,0.8741
1,4,,6,0.0027436
1,4,,7,0.9265
1,4,,8,0.0045407
1,5,,1,0.51606
1,5,,2,0.49554
1,5,,3,0.56848
1,5,,4,0.005542
1,5,,5,0.83488
1,5,,6,0.0039722
1,5,,7,0.48525
1,5,,8,0.0045376
1,6,,1,0.56074
1,6,,2,0.49393
1,6,,3,0.59814
1,6,,4,0.0059336
1,6,,5,0.84108
1,6,,6,0.0030522
1,6,,7,0.74079
1,6,,8,0.0045398
1,7,,1,0.52966
1,7,,2,0.48613
1,7,,3,0.63848
1,7,,4,0.0058294
1,7,,5,0.83752
1,7,,6,0.0032349
1,7,,7,0.58503
1,7,,8,0.0045382
1,1,,1,0.46223
1,1,,2,0.47328
1,1,,3,0.64979
1,1,,4,0.0054832
1,1,,5,0.82929
1,1,,6,0.0024728
1,1,,7,0.58792
1,1,,8,0.020466
1,2,,1,0.47054
1,2,,2,0.43622
1,2,,3,0.55377
1,2,,4,0.0050809
1,2,,5,0.82946
1,2,,6,0.0034511
1,2,,7,0.49796
1,2,,8,0.0206
1,3,,1,0.47724
1,3,,2,0.46705
1,3,,3,0.63468
